"DATE","HOME","HPTS","H2PM","H2PA","H3PM","H3PA","HFTM","HFTA","HORB","HDRB","HAST","HSTL","HTOV","HBLK","HPF","AWAY","APTS","A2PM","A2PA","A3PM","A3PA","AFTM","AFTA","AORB","ADRB","AAST","ASTL","ATOV","ABLK","APF","HPM","APM","HB","AB","WIN"
"29",20141101,"DET",90,31,59,1,17,25,35,10,31,21,3,7,3,15,"BKN",102,35,61,7,26,11,13,12,36,18,3,8,3,23,"0.421052631578947","0.482758620689655","0.428571428571429","0.375","Away"
"30",20141101,"GSW",127,35,60,11,23,24,28,12,31,30,10,20,4,26,"LAL",104,37,74,4,14,18,25,17,20,21,9,22,3,27,"0.55421686746988","0.465909090909091","0.5","0.409090909090909","Home"
"31",20141101,"HOU",104,20,42,12,34,28,40,10,39,20,9,17,8,24,"BOS",90,36,73,1,25,15,18,14,30,20,10,10,8,26,"0.421052631578947","0.377551020408163","0.529411764705882","1","Home"
"32",20141101,"MIN",105,34,73,4,12,25,31,13,29,26,9,10,4,29,"CHI",106,24,46,9,23,31,40,5,33,15,3,14,8,24,"0.447058823529412","0.478260869565217","0.9","0.214285714285714","Away"
"33",20141101,"NOP",104,31,70,7,19,21,28,14,33,24,8,13,4,19,"DAL",109,40,64,6,25,11,19,11,33,25,4,12,6,25,"0.426966292134831","0.51685393258427","0.615384615384615","0.333333333333333","Away"
"34",20141101,"OKC",102,31,60,6,20,22,31,6,35,24,8,13,6,20,"DEN",91,28,54,7,26,14,20,11,30,19,4,17,10,26,"0.4625","0.4375","0.615384615384615","0.235294117647059","Home"
"35",20141101,"ORL",95,31,61,7,20,12,24,9,31,25,3,14,7,37,"TOR",108,29,62,4,21,38,48,15,35,13,4,7,4,21,"0.469135802469136","0.397590361445783","0.214285714285714","0.571428571428571","Away"
"36",20141101,"PHI",96,28,44,7,23,19,26,4,33,28,9,24,10,21,"MIA",114,29,59,12,24,20,29,9,26,33,16,16,0,20,"0.522388059701492","0.493975903614458","0.375","1","Away"
"37",20141101,"UTA",118,35,62,7,26,27,33,13,39,19,10,13,6,15,"PHX",91,29,56,7,31,12,15,6,28,17,8,11,7,22,"0.477272727272727","0.413793103448276","0.769230769230769","0.727272727272727","Home"
"38",20141101,"WAS",108,36,60,4,13,24,33,6,28,28,18,19,5,21,"MIL",97,25,58,9,22,20,24,16,26,18,11,27,3,28,"0.547945205479452","0.425","0.947368421052632","0.407407407407407","Home"
"39",20141102,"LAC",92,24,57,9,31,17,21,11,24,23,10,8,7,25,"SAC",98,31,58,3,10,27,33,9,37,21,4,19,11,22,"0.375","0.5","1.25","0.210526315789474","Away"
"40",20141102,"MIA",107,26,46,9,24,28,38,11,32,22,6,16,6,29,"TOR",102,33,63,4,16,24,39,9,19,11,8,10,5,28,"0.5","0.468354430379747","0.375","0.8","Home"
"41",20141102,"NYK",96,31,62,8,16,10,17,8,27,23,5,12,0,26,"CHA",93,27,55,6,15,21,29,8,30,20,7,12,2,16,"0.5","0.471428571428571","0.416666666666667","0.583333333333333","Home"
"42",20141102,"POR",90,30,65,7,27,9,14,17,39,20,9,19,2,19,"GSW",95,30,62,6,19,17,21,7,34,22,11,17,7,16,"0.402173913043478","0.444444444444444","0.473684210526316","0.647058823529412","Away"
"43",20141103,"BKN",116,33,61,11,23,17,19,9,33,25,11,8,3,21,"OKC",85,24,59,8,23,13,21,15,29,14,3,17,3,17,"0.523809523809524","0.390243902439024","1.375","0.176470588235294","Home"
"44",20141103,"DAL",118,30,57,14,25,16,20,7,29,24,5,17,9,17,"BOS",113,34,71,11,31,12,16,22,27,29,9,17,6,21,"0.536585365853659","0.441176470588235","0.294117647058824","0.529411764705882","Home"
"45",20141103,"DEN",105,31,69,5,24,28,33,15,27,22,4,15,7,35,"SAC",110,32,72,2,9,40,47,14,36,21,8,15,5,28,"0.387096774193548","0.419753086419753","0.266666666666667","0.533333333333333","Away"
"46",20141103,"LAC",107,31,58,10,23,15,17,5,30,28,6,10,6,17,"UTA",101,26,50,10,27,19,24,9,34,24,4,17,2,20,"0.506172839506173","0.467532467532468","0.6","0.235294117647059","Home"
"47",20141103,"MEM",93,27,62,4,14,27,37,9,43,19,5,11,6,24,"NOP",81,25,62,4,24,19,29,14,35,14,5,12,3,30,"0.407894736842105","0.337209302325581","0.454545454545455","0.416666666666667","Home"
"48",20141103,"PHI",93,22,52,11,22,16,23,6,25,19,12,17,4,20,"HOU",104,16,41,16,34,24,30,13,34,27,12,21,6,20,"0.445945945945946","0.426666666666667","0.705882352941177","0.571428571428571","Away"
"49",20141104,"CHI",98,28,60,7,15,21,27,10,34,23,6,12,9,18,"ORL",90,32,74,6,14,8,14,14,34,21,6,11,6,22,"0.466666666666667","0.431818181818182","0.5","0.545454545454545","Home"
"50",20141104,"IND",81,25,54,6,24,13,22,15,32,14,4,17,9,17,"MIL",87,30,62,7,21,6,7,9,30,20,12,12,5,22,"0.397435897435897","0.44578313253012","0.235294117647059","1","Away"
"51",20141104,"LAL",106,29,72,6,16,30,41,18,31,16,7,12,8,25,"PHX",112,35,73,6,18,24,31,13,39,28,6,13,7,29,"0.397727272727273","0.450549450549451","0.583333333333333","0.461538461538462","Away"
"52",20141104,"MIA",91,19,46,12,28,17,27,13,21,16,7,15,2,21,"HOU",108,18,31,17,37,21,27,9,29,22,8,16,5,26,"0.418918918918919","0.514705882352941","0.466666666666667","0.5","Away"
"53",20141104,"NOP",100,33,63,5,18,19,19,11,36,26,5,12,6,19,"CHA",91,31,59,6,21,11,13,6,28,23,6,12,1,15,"0.469135802469136","0.4625","0.416666666666667","0.5","Home"
"54",20141104,"NYK",83,22,66,8,15,15,19,15,28,16,5,18,4,23,"WAS",98,31,62,8,18,12,19,10,31,26,8,12,4,25,"0.37037037037037","0.4875","0.277777777777778","0.666666666666667","Away"
"55",20141104,"POR",101,29,50,8,25,19,25,9,39,21,7,11,4,20,"CLE",82,22,64,9,21,11,14,13,28,18,5,14,3,19,"0.493333333333333","0.364705882352941","0.636363636363636","0.357142857142857","Home"
"56",20141104,"TOR",100,24,50,8,31,28,33,12,27,23,6,10,3,24,"OKC",88,28,44,6,21,14,25,6,35,23,4,19,3,27,"0.395061728395062","0.523076923076923","0.6","0.210526315789474","Home"
"57",20141105,"BOS",107,30,52,10,26,17,18,17,38,22,5,27,3,25,"TOR",110,35,71,7,16,19,23,6,18,18,11,7,4,18,"0.512820512820513","0.482758620689655","0.185185185185185","1.57142857142857","Away"
"58",20141105,"BKN",91,28,61,8,21,11,17,7,35,17,6,18,5,22,"MIN",98,30,73,7,17,17,22,13,38,22,9,11,4,21,"0.439024390243902","0.411111111111111","0.333333333333333","0.818181818181818","Away"
"59",20141105,"CHA",96,30,64,5,18,21,29,13,36,23,4,12,9,24,"MIA",89,26,55,4,22,25,31,6,30,19,6,8,4,25,"0.426829268292683","0.38961038961039","0.333333333333333","0.75","Home"
"60",20141105,"DET",98,21,64,11,23,23,33,19,36,17,5,8,4,16,"NYK",95,30,70,9,20,8,10,11,32,25,3,9,9,23,"0.367816091954023","0.433333333333333","0.625","0.333333333333333","Home"
"61",20141105,"GSW",121,28,49,15,25,20,20,4,35,29,7,23,3,22,"LAC",104,31,63,7,19,21,27,5,25,26,12,14,2,14,"0.581081081081081","0.463414634146341","0.304347826086957","0.857142857142857","Home"
"62",20141105,"MIL",86,30,74,3,15,17,20,18,32,19,10,14,3,28,"CHI",95,29,57,5,16,22,30,7,35,24,8,16,3,18,"0.370786516853933","0.465753424657534","0.714285714285714","0.5","Away"
"63",20141105,"PHI",89,25,52,8,25,15,23,6,32,22,12,20,12,18,"ORL",91,36,68,3,20,10,12,14,37,14,11,24,3,20,"0.428571428571429","0.443181818181818","0.6","0.458333333333333","Away"
"64",20141105,"PHX",91,24,48,8,21,19,21,5,30,13,11,18,4,20,"MEM",102,31,63,9,17,13,17,8,29,25,10,16,1,21,"0.463768115942029","0.5","0.611111111111111","0.625","Away"
"65",20141105,"SAC",131,34,56,8,20,39,50,9,31,21,8,13,3,30,"DEN",109,28,54,9,28,26,31,7,25,24,4,14,5,37,"0.552631578947368","0.451219512195122","0.615384615384615","0.285714285714286","Home"
"66",20141105,"SAS",94,26,52,5,17,27,38,11,39,25,7,19,9,15,"ATL",92,30,67,8,25,8,11,10,27,26,14,13,5,25,"0.449275362318841","0.41304347826087","0.368421052631579","1.07692307692308","Home"
"67",20141105,"UTA",102,32,56,7,21,17,22,13,28,26,3,12,8,26,"CLE",100,24,56,6,16,34,40,7,23,6,8,12,4,22,"0.506493506493506","0.416666666666667","0.25","0.666666666666667","Home"
"68",20141105,"WAS",96,27,74,7,17,21,23,7,36,24,7,12,7,22,"IND",94,27,63,8,27,16,20,14,43,22,3,18,9,27,"0.373626373626374","0.388888888888889","0.583333333333333","0.166666666666667","Home"
"69",20141106,"HOU",98,24,45,10,27,20,33,8,36,18,7,21,6,20,"SAS",81,29,70,2,20,17,19,12,29,17,12,14,1,24,"0.472222222222222","0.344444444444444","0.333333333333333","0.857142857142857","Home"
"70",20141106,"POR",108,28,47,12,30,16,19,12,41,25,3,17,6,21,"DAL",87,28,67,5,23,16,16,8,26,14,6,7,4,17,"0.519480519480519","0.366666666666667","0.176470588235294","0.857142857142857","Home"
"71",20141107,"BOS",101,30,58,9,27,14,16,9,29,26,6,12,3,19,"IND",98,35,69,5,19,13,13,14,28,18,2,13,6,17,"0.458823529411765","0.454545454545455","0.5","0.153846153846154","Home"
"72",20141107,"BKN",110,24,50,14,24,20,26,7,35,18,6,16,6,24,"NYK",99,29,71,8,19,17,21,15,28,22,7,14,2,24,"0.513513513513513","0.411111111111111","0.375","0.5","Home"
"73",20141107,"CHA",122,42,76,6,21,20,27,11,40,31,6,19,7,30,"ATL",119,30,60,13,33,20,26,7,31,28,8,19,3,33,"0.494845360824742","0.462365591397849","0.315789473684211","0.421052631578947","Home"
"74",20141107,"DEN",101,29,56,11,29,10,15,8,34,22,5,13,5,22,"CLE",110,34,61,6,23,24,33,6,36,25,5,8,3,14,"0.470588235294118","0.476190476190476","0.384615384615385","0.625","Away"
"75",20141107,"DET",98,26,52,11,23,13,24,12,28,18,7,18,5,24,"MIL",95,31,57,5,20,18,23,9,26,26,10,13,6,19,"0.493333333333333","0.467532467532468","0.388888888888889","0.769230769230769","Home"
"76",20141107,"OKC",89,25,54,12,25,3,11,10,34,16,3,17,1,18,"MEM",91,25,63,9,18,14,17,9,29,21,10,8,4,14,"0.468354430379747","0.419753086419753","0.176470588235294","1.25","Away"
"77",20141107,"ORL",112,41,81,5,10,15,19,12,40,19,5,21,6,27,"MIN",103,36,75,4,18,19,25,9,29,24,9,12,7,22,"0.505494505494505","0.43010752688172","0.238095238095238","0.75","Home"
"78",20141107,"PHI",115,31,61,12,30,17,25,17,25,29,7,12,2,29,"CHI",118,28,54,12,24,26,34,12,28,25,4,17,6,21,"0.472527472527473","0.512820512820513","0.583333333333333","0.235294117647059","Away"
"79",20141107,"PHX",112,32,67,10,31,18,25,9,33,19,7,12,7,33,"SAC",114,36,75,3,16,33,39,13,47,16,6,15,4,27,"0.428571428571429","0.428571428571429","0.583333333333333","0.4","Away"
"80",20141107,"TOR",103,26,58,9,22,24,31,10,39,19,5,13,3,27,"WAS",84,27,64,3,19,21,32,16,34,19,7,13,5,29,"0.4375","0.36144578313253","0.384615384615385","0.538461538461538","Home"
"81",20141107,"UTA",82,20,40,9,28,15,19,9,32,19,4,21,6,17,"DAL",105,33,64,9,24,12,14,13,29,23,12,8,3,22,"0.426470588235294","0.477272727272727","0.19047619047619","1.5","Away"
"82",20141108,"ATL",103,24,59,9,22,28,36,12,29,18,10,8,5,17,"NYK",96,32,63,8,21,8,11,13,31,26,2,15,6,29,"0.407407407407407","0.476190476190476","1.25","0.133333333333333","Home"
